Source title,CiteScore,Highest percentile,2018-21 Citations,2018-21 Documents,% Cited,SNIP,SJR,Publisher
"Journal of Educational, Cultural and Psychological Studies",1.2,"40.0%
843/1406
Education",125,103,37,0.438,0.205,LED Edizioni Universitarie
Journal of LGBT Issues in Counseling,1.2,"55.0%
77/173
Gender Studies",82,68,46,0.828,0.358,Taylor & Francis
Journal of Rehabilitation,1.2,"45.0%
71/129
Rehabilitation",104,85,54,0.476,0.293,National Rehabilitation Association
Middle School Journal,1.2,"38.0%
865/1406
Education",93,80,43,0.759,0.359,Taylor & Francis
Pastoral Psychology,1.2,"92.0%
39/547
Religious Studies",199,163,47,1.032,0.344,Springer Nature
Porn Studies,1.2,"82.0%
193/1127
Cultural Studies",164,135,50,0.928,0.401,Taylor & Francis
Psychoanalytic Psychotherapy,1.2,"35.0%
190/292
Clinical Psychology",80,68,44,0.661,0.279,Taylor & Francis
Psychologie Francaise,1.2,"27.0%
152/209
General Psychology",115,100,47,0.394,0.194,Elsevier
Reading Psychology,1.2,"74.0%
263/1032
Linguistics and Language",172,143,51,0.623,0.339,Taylor & Francis
Stigma and Health,1.2,"35.0%
189/292
Clinical Psychology",89,74,45,0.656,0.465,APA
Universitas Psychologica,1.2,"28.0%
150/209
General Psychology",267,227,47,0.361,0.189,Pontificia Universidad Javeriana
Verhaltenstherapie,1.2,"36.0%
186/292
Clinical Psychology",125,103,44,0.434,0.364,Karger
Zeitschrift fur Entwicklungspsychologie und Padagogische Psychologie,1.2,"39.0%
847/1406
Education",64,53,53,0.37,0.262,Hogrefe Publishing
Zeitschrift fur Psychosomatische Medizin und Psychotherapie,1.2,"46.0%
444/826
General Medicine",182,154,54,0.501,0.241,Vandenhoeck and Ruprecht
American Journal of Psychology,1.1,"50.0%
187/376
Arts and Humanities (miscellaneous)",164,148,41,0.632,0.226,University of Illinois Press
Annual Review of CyberTherapy and Telemedicine,1.1,"41.0%
76/129
Rehabilitation",110,99,34,0.228,0.178,The Interactive Media Institute (IMI)
Anuario de Psicologia,1.1,"27.0%
153/209
General Psychology",61,58,31,0.136,0.155,Universitat de Barcelona
Biolinguistics,1.1,"74.0%
250/968
Language and Linguistics",9,8,50,0.125,0.166,Biolinguistics Journal Team
Counseling and Values,1.1,"92.0%
43/547
Religious Studies",63,57,51,0.721,0.273,Wiley-Blackwell
Developmental Child Welfare,1.1,"35.0%
193/298
Pediatrics, Perinatology and Child Health",33,29,28,1.212,1.091,SAGE
Forensic Science International: Mind and Law,1.1,"60.0%
316/801
Law",46,42,43,0.499,0.144,Elsevier
"Forensische Psychiatrie, Psychologie, Kriminologie",1.1,"60.0%
313/801
Law",160,145,47,0.434,0.23,Springer Nature
International Journal of Group Psychotherapy,1.1,"33.0%
196/292
Clinical Psychology",111,98,61,0.384,0.187,Taylor & Francis
"Journal of Occupational Therapy, Schools, and Early Intervention",1.1,"45.0%
13/23
Occupational Therapy",133,123,48,0.695,0.262,Taylor & Francis
OCNOS,1.1,"96.0%
29/934
Literature and Literary Theory",107,94,41,0.56,0.319,Universidad de Castilla la Mancha
Psychoanalytic Quarterly,1.1,"51.0%
184/376
Arts and Humanities (miscellaneous)",110,96,43,1.314,1.049,Taylor & Francis
Psychodynamic Practice,1.1,"32.0%
199/292
Clinical Psychology",84,79,29,0.923,0.248,Taylor & Francis
Psychology and Developing Societies,1.1,"22.0%
229/296
Social Psychology",55,49,45,0.903,0.252,SAGE
Research in the Sociology of Sport,1.1,"52.0%
202/426
Social Sciences (miscellaneous)",25,23,61,N/A,N/A,Emerald Publishing
Review of Cognitive Linguistics,1.1,"72.0%
264/968
Language and Linguistics",83,79,38,0.578,0.357,John Benjamins Publishing Company
Specialusis Ugdymas,1.1,"37.0%
883/1406
Education",30,27,26,0.102,0.118,Vilnius University Press
Tizard Learning Disability Review,1.1,"32.0%
198/292
Clinical Psychology",111,101,43,0.444,0.332,Emerald Publishing
Acta Colombiana de Psicologia,1,"25.0%
157/209
General Psychology",109,106,45,0.642,0.186,Universidad Catolica de Colombia
Annales Medico-Psychologiques,1,"48.0%
196/376
Arts and Humanities (miscellaneous)",550,562,38,0.659,0.252,Elsevier
Archives of psychiatry research,1,"31.0%
223/323
Health (social science)",64,63,30,0.374,0.283,University Hospital Center Sestre milosrdnice
Autism and Developmental Language Impairments,1,"30.0%
202/292
Clinical Psychology",50,48,35,0.78,0.345,SAGE
Contemporary Psychoanalysis,1,"29.0%
206/292
Clinical Psychology",100,102,38,0.668,0.247,Taylor & Francis
Cultural-Historical Psychology,1,"79.0%
232/1127
Cultural Studies",198,195,44,0.956,0.331,Moscow State University of Psychology and Education
Estudios de Psicologia,1,"25.0%
156/209
General Psychology",102,99,51,0.523,0.219,Taylor & Francis
Geriatrie et Psychologie Neuropsychiatrie du Vieillissement,1,"24.0%
273/359
Neurology (clinical)",219,209,38,0.258,0.198,Libbey
International Journal of High Risk Behaviors and Addiction,1,"28.0%
208/292
Clinical Psychology",122,125,36,0.172,0.162,Brieflands
International Review of Pragmatics,1,"71.0%
272/968
Language and Linguistics",44,43,47,0.923,0.184,Brill
Journal of Behavioral and Cognitive Therapy,1,"29.0%
207/292
Clinical Psychology",84,86,45,0.447,0.305,Elsevier
"Journal of Criminological Research, Policy and Practice",1,"56.0%
350/801
Law",89,92,35,0.311,0.159,Emerald Publishing
"Journal of Infant, Child, and Adolescent Psychotherapy",1,"31.0%
201/292
Clinical Psychology",133,127,46,0.639,0.322,Taylor & Francis
Journal of Parapsychology,1,"25.0%
46/61
Psychology (miscellaneous)",34,33,30,0.38,0.142,Parapsychology Press
Journal of Special Education Leadership,1,"33.0%
930/1406
Education",33,34,35,0.362,0.281,Council of Administrators of Special Education in conjunction
Journal of the History of the Behavioral Sciences,1,"87.0%
195/1499
History",64,66,45,1.451,0.209,Wiley-Blackwell
Maltrattamento e Abuso all'Infanzia,1,"30.0%
224/323
Health (social science)",81,80,46,0.155,0.136,Franco Angeli Edizioni
"Marketing, Zeitschrift fur Forschung und Praxis",1,"22.0%
151/195
Marketing",45,46,28,0.646,0.295,C.H.BECK
Military Behavioral Health,1,"50.0%
211/426
Social Sciences (miscellaneous)",131,132,46,0.535,0.271,Taylor & Francis
Occupational Therapy in Mental Health,1,"25.0%
396/529
Psychiatry and Mental Health",88,84,50,0.686,0.289,Taylor & Francis
Papers on Social Representations,1,"21.0%
234/296
Social Psychology",61,59,34,0.942,0.373,London School of Economics and Political Science
Partner Abuse,1,"58.0%
336/801
Law",97,95,44,0.603,0.318,Springer Publishing Company
Psychodynamic Psychiatry,1,"42.0%
478/826
General Medicine",116,113,39,1.1,0.382,Guilford Press
Psychology Hub,1,"26.0%
154/209
General Psychology",75,72,39,0.205,0.186,Sapienza Universita Editrice
"Psychology, Society and Education",1,"49.0%
678/1345
Sociology and Political Science",141,142,46,0.397,0.209,Universidad de Almeria
