"Anything additional, unusual, or interesting to note?",Timestamp,Coder's Initials,Journal Name,Does the journal publish empirical research?,Check the article types page and check for web comments — does the journal offer any type of PPC?,A. Enter the name of the PPC type offered by the journal:,A. Enter the verbatim description of this type of PPC provided by the journal,A. Are there any length limits for this type of PPC?,A. Are there any time limits for submission of this type of PPC?,A. Are there any reference limits for this type of PPC?,A. Is this type of PPC sent for independent external peer review?,"A. Anything additional, unusual, or interesting to note?",A. Are there any other types of PPC in this journal? (Remember to check for web comments!),B. Enter the name of the PPC type offered by the journal:,B. Enter the verbatim description of this type of PPC provided by the journal,B. Are there any length limits for this type of PPC?,B. Are there any time limits for submission of this type of PPC?,B. Are there any reference limits for this type of PPC?,B. Is this type of PPC sent for independent external peer review?,"B. Anything additional, unusual, or interesting to note?",B. Are there any other types of PPC in this journal? (Remember to check for web comments!),C. Enter the name of the PPC type offered by the journal:,C. Enter the verbatim description of this type of PPC provided by the journal,C. Are there any length limits for this type of PPC?,C. Are there any time limits for submission of this type of PPC?,C. Are there any reference limits for this type of PPC?,C. Is this type of PPC sent for independent external peer review?,"C. Anything additional, unusual, or interesting to note?",C. Are there any other types of PPC in this journal? (Remember to check for web comments!),D. Enter the name of the PPC type offered by the journal:,D. Enter the verbatim description of this type of PPC provided by the journal,D. Are there any length limits for this type of PPC?,D. Are there any time limits for submission of this type of PPC?,D. Are there any reference limits for this type of PPC?,D. Is this type of PPC sent for independent external peer review?,"D. Anything additional, unusual, or interesting to note?",...38,...39,...40,...41,...42,...43,...44,...45,sample_id,cope,field,jif
NA,NA,FINAL (TEH),CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.37
NA,7/15/2023 19:02:55,NM,CAREER DEVELOPMENT INTERNATIONAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",2.443
NA,8/8/2023 15:27:03,SV,CAREER DEVELOPMENT INTERNATIONAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",2.443
NA,NA,FINAL (TEH),CAREER DEVELOPMENT INTERNATIONAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",2.443
NA,7/15/2023 21:23:35,NM,CAREER DEVELOPMENT QUARTERLY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",2.408
NA,8/4/2023 7:32:22,RTT,CAREER DEVELOPMENT QUARTERLY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",2.408
NA,NA,FINAL (TEH),CAREER DEVELOPMENT QUARTERLY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",2.408
"There is an article type called Discussion Article that could potentially be used as a means of critiquing past articles, but it is not framed in this way.",7/17/2023 16:21:16,NM,CHILD ABUSE & NEGLECT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",4.863
"There is a ""Discussion article"" type, but it does not appear to allow for critical commentary on specific articles. The description is ""Plans for proposed critical review discussion articles are invited to first submit a draft outline to the EiC. Please visit our Support Center. These may discuss a policy or legal / philosophical framework or a brief data report. The article must present a critical analysis of areas of gap in practice or research, current critical or emergent issues, with an expectation of utilizing an integration and discussion of empirical research.""",7/28/2023 11:46:27,TEH,CHILD ABUSE & NEGLECT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",4.863
NA,NA,FINAL (TEH),CHILD ABUSE & NEGLECT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",4.863
NA,7/11/2023 23:03:04,NM,CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,Psychology,2.087
NA,8/4/2023 6:43:06,RTT,CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,Psychology,2.087
NA,NA,FINAL (TEH),CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,Psychology,2.087
NA,7/5/2023 16:42:31,NM,COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",NA
NA,7/28/2023 11:36:48,TEH,COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",NA
NA,NA,FINAL (TEH),COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",NA
NA,7/12/2023 17:27:37,AW,COGENT PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",NA
"They offer ""Brief Replication Reports"", but these don't appear to be specifically for articles published in this journal.",8/6/2023 4:47:38,RTT,COGENT PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",NA
NA,NA,FINAL (TEH),COGENT PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",NA
NA,7/15/2023 21:05:16,NM,COGNITION AND INSTRUCTION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",3.356
NA,8/8/2023 15:28:20,SV,COGNITION AND INSTRUCTION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",3.356
NA,NA,FINAL (TEH),COGNITION AND INSTRUCTION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",3.356
NA,6/28/2023 12:58:05,NM,COGNITIVE SCIENCE,Yes,YES,Letters to the editor,"Letters to the editor consisting of approximately 1,000 words, and will be commentaries on articles, responses to commentaries, or discussion items of general relevance to the cognitive science community","YES (copy and paste the limits in the 'other' section below), approximately 1,000 words",NOT STATED,NOT STATED,"UNCLEAR (provide detail in the 'other' section below), It appears as though all submissions have independent external peer review, whether they're empirical articles or letters to the editor, although on my reading I can't see this stated explicitly.",NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.617
NA,8/8/2023 13:50:41,SV,COGNITIVE SCIENCE,Yes,YES,Letters to the editor,"Letters to the editor consisting of approximately 1,000 words, and will be commentaries on articles, responses to commentaries, or discussion items of general relevance to the cognitive science community","YES (copy and paste the limits in the 'other' section below), approximately 1,000 words",NOT STATED,NOT STATED,NOT STATED,"Re: word limits: ""In all cases, the word limits are intended as approximate upper bounds, excluding references. Authors are encouraged to be as concise as possible within reason and should not aim for the upper limit for their category of article.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.617
NA,NA,FINAL (TEH),COGNITIVE SCIENCE,Yes,YES,Letters to the editor,"Letters to the editor consisting of approximately 1,000 words, and will be commentaries on articles, responses to commentaries, or discussion items of general relevance to the cognitive science community","YES (copy and paste the limits in the 'other' section below), approximately 1,000 words",NOT STATED,NOT STATED,NOT STATED,"Re: word limits: ""In all cases, the word limits are intended as approximate upper bounds, excluding references. Authors are encouraged to be as concise as possible within reason and should not aim for the upper limit for their category of article.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.617
NA,7/6/2023 16:10:41,AW,CORTEX,Yes,YES,Commentaries,"These submissions may comment, criticize or supplement articles or reports previously published in Cortex. No abstract is required.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Seems to be an option either as an independent article OR as part of a ""discussion forum"" responding to a particular target article - therefore have not included ""discussion forum"" as a separate type of PPC.",YES (opens another page),Verification reports,"From Author Guidelines: ""These submissions evaluate the claims in published research through reanalysis of the original study data. Like Registered Reports, they undergo a two-phase review process in which the importance of the proposed analysis and validity of the methodology are considered prior to the results being presented.""

From Guide Document: ""Verification Reports are a form of empirical article in which authors evaluate the claims in published research through reanalysis of the original study data. The purpose of this format is to assess the credibility of previous conclusions by​ repeating the original analyses to test computational reproducibility or, in addition, by reporting new analyses to test robustness.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Whilst not typical PPC format as it requires empirical evaluation, allows for critical assessment of previously published studies.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",4.644
"CORTEX also offer ""Verification reports (click here for more details). These submissions evaluate the claims in published research through reanalysis of the original study data. Like Registered Reports, they undergo a two-phase review process in which the importance of the proposed analysis and validity of the methodology are considered prior to the results being presented."" Which appears to be a type of PPC applicable to research published anywhere, but I don't think it fits our PPC operationalization (of being specific to article in the journal)",8/4/2023 8:07:47,RTT,CORTEX,Yes,YES,Commentaries,"These submissions may comment, criticize or supplement articles or reports previously published in Cortex. No abstract is required.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",4.644
NA,NA,FINAL (TEH),CORTEX,Yes,YES,Commentaries,"These submissions may comment, criticize or supplement articles or reports previously published in Cortex. No abstract is required.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Seems to be an option either as an independent article OR as part of a ""discussion forum"" responding to a particular target article - therefore have not included ""discussion forum"" as a separate type of PPC.",YES (opens another page),Verification reports,"From Author Guidelines: ""These submissions evaluate the claims in published research through reanalysis of the original study data. Like Registered Reports, they undergo a two-phase review process in which the importance of the proposed analysis and validity of the methodology are considered prior to the results being presented.""

From Guide Document: ""Verification Reports are a form of empirical article in which authors evaluate the claims in published research through reanalysis of the original study data. The purpose of this format is to assess the credibility of previous conclusions by​ repeating the original analyses to test computational reproducibility or, in addition, by reporting new analyses to test robustness.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Whilst not typical PPC format as it requires empirical evaluation, allows for critical assessment of previously published studies.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",4.644
Unclear from article type description but benefit of the doubt being given. No PPC examples found during brief archive search.,7/6/2023 14:47:21,AW,CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,Yes,YES,Letters,Of characteristics and variable length according to criteria of the editorial body. Emphasis is placed on the discussion on the contents of the magazine or the reflective comment on events that occurred in the world regarding the theme of the magazine.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Full article type description ""Letters and announcements of academic activities""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Biological",NA
NA,7/28/2023 12:07:15,TEH,CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,Yes,YES,Letters,Emphasis is placed on the discussion on the contents of the magazine or the reflective comment on events that occurred in the world regarding the theme of the magazine.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Biological",NA
Unclear from article type description but benefit of the doubt being given. No PPC examples found during brief archive search.,NA,FINAL (TEH),CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,Yes,YES,Letters,Of characteristics and variable length according to criteria of the editorial body. Emphasis is placed on the discussion on the contents of the magazine or the reflective comment on events that occurred in the world regarding the theme of the magazine.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Full article type description ""Letters and announcements of academic activities""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Biological",NA
NA,7/27/2023 10:55:08,NM,DEVIANT BEHAVIOR,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",1.716
NA,8/8/2023 15:41:15,SV,DEVIANT BEHAVIOR,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",1.716
NA,NA,FINAL (TEH),DEVIANT BEHAVIOR,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",1.716
NA,7/13/2023 12:50:25,AW,EARLY EDUCATION AND DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.115
NA,7/28/2023 12:01:54,TEH,EARLY EDUCATION AND DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.115
NA,NA,FINAL (TEH),EARLY EDUCATION AND DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.115
"It's possible that the ""Scholarly Commentaries"" mentioned on the website might serve as a form of PPC, but there's no clear indication of this, and I couldn't locate any examples.",7/5/2023 17:00:01,NM,EATING BEHAVIORS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Clinical",2.936
NA,8/8/2023 13:59:09,SV,EATING BEHAVIORS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Clinical",2.936
NA,NA,FINAL (TEH),EATING BEHAVIORS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Clinical",2.936
"Not listed in author guidelines, archive search revealed older PPC articles but nothing when filtering for years 2019-2023.",7/10/2023 17:40:20,AW,ECOLOGICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.688
NA,7/28/2023 12:18:13,TEH,ECOLOGICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.688
"Not listed in author guidelines, archive search revealed older PPC articles but nothing when filtering for years 2019-2023.",NA,FINAL (TEH),ECOLOGICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.688
"Whilst ""Commentary"" is listed as an article type, does not appear to meet our PPC definition, confirmed via archive search. Journal appears to have previously accepted Letters to the Editor, some being published online as recent as 2020 but originally received prior to 2000.",7/6/2023 14:23:19,AW,EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",NA
